number x_departure y_departure demand x_destination y_destination
1 23 -46 5 -26 47
2 15 -10 13 -19 -11
3 -16 -30 15 5 -5
4 9 10 10 -12 20
5 -24 42 24 -39 30
6 12 -44 25 14 20
7 -48 3 23 46 -19
8 -47 14 5 -41 15
9 -40 -16 22 2 -10
10 1 -21 17 -11 -45
11 17 32 39 39 -28
12 -28 -20 20 30 42
13 19 -34 6 7 -19
14 -7 -2 16 -34 48
15 0 -50 15 32 11
16 46 -5 20 31 -46
17 -28 1 9 32 -33
18 -13 -27 8 0 -24
19 -35 4 6 35 41
20 17 3 11 -37 -45
21 -45 2 14 -25 -10
22 36 35 82 -7 -8
23 12 -14 19 -24 47
24 -13 -47 13 26 -45
25 -35 -25 5 26 22
26 49 49 5 -46 -43
27 15 9 52 24 -46
28 -19 -13 69 10 19
29 10 31 18 23 -49
30 34 17 18 -35 -19
31 23 28 9 -42 -14
32 20 -22 10 13 3
33 -36 -6 11 6 31
34 -27 20 12 43 1
35 6 38 10 -26 17
36 8 -11 32 -26 -24
37 38 -49 16 -12 48
38 -31 -15 6 -17 -21
39 -43 14 6 -46 -1
40 -18 8 13 -28 12
