number x y demand
1 15 3 1
2 -39 0 1
3 1 -23 1
4 -35 -28 1
5 49 27 1
6 23 4 1
7 19 -48 1
8 -31 9 1
9 -46 -44 1
10 -23 9 1
11 -12 -9 1
12 32 10 1
13 -5 -26 1
14 15 12 1
15 38 -29 1
16 33 -42 1
17 -31 26 1
18 -15 -17 1
19 -3 33 1
20 16 31 1
21 -46 39 1
22 25 -48 1
23 47 -49 1
24 -16 5 1
25 32 -5 1
26 -11 47 1
27 14 -12 1
28 0 -31 1
29 -47 41 1
30 -11 -14 1
31 -28 -37 1
32 17 -6 1
33 49 23 1
34 -18 -23 1
35 -43 13 1
36 -5 2 1
37 1 -50 1
38 -30 42 1
39 8 34 1
40 -41 19 1
41 -1 25 1
42 -3 50 1
43 11 -46 1
44 -29 50 1
45 36 4 1
46 50 41 1
47 47 45 1
48 15 -24 1
49 24 -41 1
50 -6 4 1
51 -35 -6 1
52 -43 9 1
53 -39 4 1
54 17 -48 1
55 35 33 1
56 21 -13 1
57 -25 39 1
58 -8 -14 1
59 38 32 1
60 -30 -27 1
61 25 33 1
62 19 -1 1
63 -32 26 1
64 -22 7 1
65 2 18 1
66 -11 -15 1
67 -28 -27 1
68 7 -36 1
69 -7 -47 1
70 1 8 1
71 30 -15 1
72 0 39 1
73 29 26 1
74 -23 24 1
75 -19 8 1
76 -20 -17 1
77 15 -28 1
78 -16 -15 1
79 -44 -40 1
80 -24 -48 1
81 -40 -36 1
82 26 42 1
83 22 41 1
84 -43 22 1
85 13 1 1
86 -20 22 1
87 -24 20 1
88 9 -14 1
89 -23 42 1
90 41 -26 1
91 32 47 1
92 34 19 1
93 28 -23 1
94 -3 39 1
95 -30 38 1
96 21 43 1
97 -29 12 1
98 8 39 1
99 -20 50 1
100 -28 50 1
101 -49 -34 1
102 -15 -15 1
103 -33 -13 1
104 -20 -4 1
105 -43 41 1
106 -35 21 1
107 -33 -4 1
108 -44 3 1
109 25 -31 1
110 -5 -13 1
111 12 -14 1
112 26 -14 1
113 26 2 1
114 42 26 1
115 36 -43 1
116 37 32 1
117 -2 -6 1
118 9 46 1
119 31 13 1
120 -4 -37 1
